,NTA,total_jobs_created,average_total_savings
0,Battery Park City-Lower Manhattan,0.0,469890.79666666663
1,Bushwick South,10.0,26140.455000000005
2,Carroll Gardens-Columbia Street-Red Hook,0.0,24337.390000000003
3,College Point,2.0,17159.372857142855
4,Crown Heights North,0.0,4036.298888888889
5,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,0.0,59950.340000000004
6,East New York,15.0,48433.09333333333
7,East Williamsburg,0.0,13990.626363636366
8,Greenpoint,0.0,9753.649285714284
9,Hunters Point-Sunnyside-West Maspeth,0.0,23931.398933333337
10,Hunts Point,12.0,39246.016153846154
11,Manhattanville,0.0,2760.8888888888887
12,Maspeth,10.0,6658.283333333334
13,Mott Haven-Port Morris,10.0,17843.937857142857
14,Queensbridge-Ravenswood-Long Island City,0.0,61830.770625
15,SoHo-TriBeCa-Civic Center-Little Italy,0.0,37214.024
16,Springfield Gardens South-Brookville,0.0,17757.662
17,Steinway,20.0,11227.155714285715
18,Sunset Park West,0.0,14316.976875000002
19,park-cemetery-etc-Brooklyn,0.0,14327.419333333331
